Ship-to party,Region Code,sub_region_code,광역도시,시군구,담당 RDC 코드,담당 RDC 명
7902,DCA,DJN_S,대전광역시,서구,11RC,계룡RDC
8192,DCA,DJN_S,대전광역시,서구,11RC,계룡RDC
8955,DCA,DJN_S,대전광역시,서구,11RC,계룡RDC
926,DCA,DJN_S,대전광역시,서구,11RC,계룡RDC
9332,DCA,DJN_S,대전광역시,서구,11RC,계룡RDC
947,DCA,DJN_S,대전광역시,서구,11RC,계룡RDC
9885,DCA,DJN_S,대전광역시,서구,11RC,계룡RDC
KH08007,DCA,DJN_S,대전광역시,서구,11RC,계룡RDC
KH09129,DCA,DJN_S,대전광역시,서구,11RC,계룡RDC
KH10371,DCA,DJN_S,대전광역시,서구,11RC,계룡RDC
KH10914,DCA,DJN_S,대전광역시,서구,11RC,계룡RDC
KP11236,DCA,DJN_S,대전광역시,서구,11RC,계룡RDC
KP11332,DCA,DJN_S,대전광역시,서구,11RC,계룡RDC
KP11360,DCA,DJN_S,대전광역시,서구,11RC,계룡RDC
KP11451,DCA,DJN_S,대전광역시,서구,11RC,계룡RDC
KP11701,DCA,DJN_S,대전광역시,서구,11RC,계룡RDC
KP12443,DCA,DJN_S,대전광역시,서구,11RC,계룡RDC
KP12504,DCG,DJN_S,대전광역시,서구,11RC,계룡RDC
KP12627,DCA,DJN_S,대전광역시,서구,11RC,계룡RDC
KP12763,DCA,DJN_S,대전광역시,서구,11RC,계룡RDC
KP12786,DCA,DJN_S,대전광역시,서구,11RC,계룡RDC
KP13080,DCA,DJN_S,대전광역시,서구,11RC,계룡RDC
KP13412,DCA,DJN_S,대전광역시,서구,11RC,계룡RDC
10402,IAA,GWJ_B,광주광역시,북구,11RC,계룡RDC
10537,IAA,GWJ_B,광주광역시,북구,11RC,계룡RDC
1703,IAA,GWJ_B,광주광역시,북구,11RC,계룡RDC
1944,IAA,GWJ_B,광주광역시,북구,11RC,계룡RDC
2916,IAA,GWJ_B,광주광역시,북구,11RC,계룡RDC
8969,IAA,GWJ_B,광주광역시,북구,11RC,계룡RDC
