시군구코드(대표리전코드),광역도시,시군구명,현재배정RDC(수량기준),총수량,총배송횟수(DeliveryNo),고유배송지코드수(Ship-to),RDC까지거리_km(수량가중평균),"RDC까지시간_h(중앙값,RealGI~Arrival)",수량비중_%,배송횟수비중_%,배정RDC_수량점유율_%,배정RDC_배송횟수점유율_%,대표권역번호(ShipmentRoute)
PFA,경상북도,청송군,칠곡RDC,1661,118,5,221.8,8.55,0.0805,0.1204,99.88,99.15,KRDEK0
ITA,전라남도,해남군,계룡RDC,1660,143,11,318.9,8.64,0.0805,0.1459,95.18,91.61,KRDDK0
IDA,광주광역시,남구,계룡RDC,1623,203,7,196.7,4.16,0.0787,0.2071,96.3,91.13,KRD401
INB,전라남도,영암군,계룡RDC,1601,147,7,291.7,7.46,0.0776,0.1499,73.08,72.79,KRDDE0
MQA,경상남도,산청군,칠곡RDC,1594,118,4,156.3,2.91,0.0773,0.1204,93.6,89.83,KRDF70
MGA,경상남도,고성군,칠곡RDC,1569,102,4,226.9,2.79,0.0761,0.104,92.61,88.24,KRDF20
DJA,충청남도,부여군,계룡RDC,1516,156,7,111.5,7.69,0.0735,0.1591,96.24,92.31,KRDB60
CMA,강원도,평창군,제천RDC,1408,154,13,195.4,1.62,0.0683,0.1571,86.43,81.82,KRD9E0
LAA,부산광역시,중구,칠곡RDC,1407,100,2,160.0,2.92,0.0682,0.102,100.0,100.0,KRD10E
AUA,서울특별시,동작구,평택RDC,1386,84,3,89.5,3.0,0.0672,0.0857,94.66,80.95,KRD00B
MRA,경상남도,하동군,칠곡RDC,1380,96,3,188.4,5.11,0.0669,0.0979,87.54,88.54,KRDFE0
ABD,전라남도,강진군,계룡RDC,1348,76,3,312.2,9.64,0.0654,0.0775,87.46,75.0,KRDD00
JHA,전라남도,고흥군,계룡RDC,1339,96,3,290.0,8.23,0.0649,0.0979,98.51,95.83,KRDD10
MUA,경상남도,함양군,칠곡RDC,1313,95,4,152.9,2.2,0.0637,0.0969,94.52,88.42,KRDFG0
MVA,경상남도,합천군,칠곡RDC,1287,126,6,121.1,2.19,0.0624,0.1285,91.76,91.27,KRDFH0
ADA,서울특별시,서대문구,평택RDC,1250,60,2,90.0,2.86,0.0606,0.0612,100.0,100.0,KRD00D
CGB,강원도,고성군,제천RDC,1198,67,2,260.5,5.02,0.0581,0.0683,97.83,88.06,KRD910
CKA,강원도,횡성군,제천RDC,1191,87,7,231.4,1.55,0.0578,0.0887,90.18,71.26,KRD9H0
CLA,강원도,영월군,제천RDC,1186,130,8,129.5,1.47,0.0575,0.1326,74.54,71.54,KRD970
CVA,강원도,철원군,평택RDC,1166,119,6,186.5,4.33,0.0565,0.1214,91.94,85.71,KRD9B0
CUA,강원도,양구군,제천RDC,1135,57,2,178.5,4.13,0.055,0.0581,86.7,70.18,KRD950
PBA,경상북도,봉화군,제천RDC,1129,87,6,101.0,2.78,0.0547,0.0887,92.74,88.51,KRDE70
ENA,충청북도,옥천군,계룡RDC,1096,89,7,79.6,1.05,0.0531,0.0908,89.96,82.02,KRDA40
INA,전라남도,함평군,계룡RDC,1080,56,1,319.6,5.08,0.0524,0.0571,99.44,96.43,KRDDJ0
EOA,충청북도,보은군,계룡RDC,1037,76,3,80.6,2.53,0.0503,0.0775,96.53,86.84,KRDA20
ABB,충청남도,계룡시,계룡RDC,1029,72,2,58.9,0.41,0.0499,0.0734,100.0,100.0,KRDB00
JBA,전라남도,구례군,계룡RDC,1017,54,2,268.1,2.56,0.0493,0.0551,100.0,100.0,KRDD40
GKA,경기도,용인시 수지구,평택RDC,1003,138,7,60.7,2.64,0.0486,0.1408,95.51,92.75,KRD8M1
JGA,전라남도,보성군,계룡RDC,996,139,6,277.5,8.8,0.0483,0.1418,84.04,93.53,KRDD90
